scorer,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000,DLC_resnet50_BMD_PPJan7shuffle1_200000
7,1364.227,1033.424,1.0,1384.274,1050.949,1.0,1384.325,1034.159,1.0,1434.803,1029.351,1.0,1394.603,1044.047,1.0,1421.067,1049.848,1.0,1111.248,289.629,1.0,1124.764,264.529,1.0,1110.18,262.983,1.0,1135.481,173.673,1.0,1118.669,256.645,1.0,1123.587,223.357,1.0,1140.98,469.521,1.0,1121.112,443.362,1.0,1122.289,462.413,1.0,1047.574,448.48,1.0,1107.815,455.4,1.0,1085.882,444.948,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1364.218,1033.743,1.0,1381.555,1050.31,1.0,1387.503,1033.722,1.0,1435.386,1028.649,1.0,1392.786,1042.933,1.0,1420.09,1049.685,1.0,1109.75,287.528,1.0,1124.295,268.335,1.0,1111.169,264.945,1.0,1134.709,173.896,1.0,1118.414,254.46,1.0,1128.679,216.975,1.0,1144.423,472.508,1.0,1123.414,447.309,1.0,1124.949,465.105,1.0,1049.351,447.323,1.0,1112.206,450.977,1.0,1086.207,446.46,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1362.759,1033.806,1.0,1379.952,1049.932,1.0,1386.382,1033.945,1.0,1435.587,1028.382,1.0,1391.677,1042.783,1.0,1419.248,1049.436,1.0,1108.691,285.52,1.0,1125.126,265.457,1.0,1112.102,263.719,1.0,1140.983,176.815,1.0,1119.753,252.033,1.0,1130.2,223.34,1.0,1146.098,471.24,1.0,1125.161,453.57,1.0,1117.26,474.381,1.0,1050.964,446.89,1.0,1112.931,455.754,1.0,1087.567,449.56,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1360.326,1033.788,1.0,1377.023,1048.501,1.0,1384.877,1033.434,1.0,1435.621,1028.347,1.0,1390.576,1041.36,1.0,1417.364,1048.24,1.0,1109.771,282.341,1.0,1126.238,262.353,1.0,1110.922,259.198,1.0,1142.474,174.681,1.0,1118.806,256.704,1.0,1130.043,221.022,1.0,1149.778,469.151,1.0,1127.23,455.356,1.0,1127.762,474.87,1.0,1053.635,447.334,1.0,1120.114,458.095,1.0,1092.902,451.147,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1357.862,1034.043,1.0,1374.839,1047.844,1.0,1383.289,1032.775,1.0,1435.452,1028.356,1.0,1394.788,1042.06,1.0,1415.397,1047.862,1.0,1111.843,282.639,1.0,1128.148,264.544,1.0,1112.296,254.647,1.0,1143.458,174.869,1.0,1120.358,253.021,1.0,1127.507,215.489,1.0,1159.817,474.568,1.0,1138.75,452.215,1.0,1133.89,471.079,1.0,1059.084,443.73,1.0,1125.349,457.063,1.0,1093.953,452.862,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1360.633,1032.409,1.0,1373.066,1047.764,1.0,1380.567,1033.286,1.0,1435.176,1028.184,1.0,1392.2,1042.189,1.0,1414.286,1047.532,1.0,1114.79,280.507,1.0,1132.437,255.803,1.0,1112.923,256.094,1.0,1143.318,172.854,1.0,1120.942,247.839,1.0,1128.957,218.404,1.0,1168.172,469.77,1.0,1140.99,449.275,1.0,1137.106,472.38,1.0,1061.826,448.061,1.0,1127.482,456.027,1.0,1101.857,453.697,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1358.76,1031.749,1.0,1373.066,1046.856,1.0,1378.838,1032.734,1.0,1435.606,1029.175,1.0,1391.557,1041.32,1.0,1412.529,1047.707,1.0,1107.423,282.392,1.0,1126.938,264.213,1.0,1108.871,254.038,1.0,1136.046,169.853,1.0,1117.043,252.281,1.0,1127.065,219.413,1.0,1173.607,466.473,1.0,1151.637,447.766,1.0,1149.207,466.754,1.0,1075.087,443.346,1.0,1137.71,453.931,1.0,1115.251,453.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1357.202,1030.73,1.0,1377.898,1049.126,1.0,1376.466,1032.836,1.0,1435.482,1029.386,1.0,1390.212,1041.696,1.0,1411.039,1048.003,1.0,1105.943,285.974,1.0,1125.085,265.079,1.0,1107.634,254.754,1.0,1134.824,175.901,1.0,1120.785,250.657,1.0,1124.924,221.027,1.0,1180.115,469.673,1.0,1156.746,446.977,1.0,1149.618,465.354,1.0,1082.274,442.855,1.0,1140.288,451.981,1.0,1120.724,443.442,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1358.645,1033.371,1.0,1377.526,1050.353,1.0,1374.111,1033.216,1.0,1435.158,1029.816,1.0,1388.22,1042.352,1.0,1419.657,1052.979,1.0,1105.898,285.582,1.0,1125.091,264.633,1.0,1107.984,252.772,1.0,1139.397,174.4,1.0,1121.158,249.664,1.0,1127.112,220.796,1.0,1178.041,463.257,1.0,1158.322,440.211,1.0,1149.185,458.556,1.0,1084.16,435.549,1.0,1144.537,446.064,1.0,1114.618,440.041,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1358.162,1034.391,1.0,1377.99,1051.752,1.0,1373.223,1034.654,1.0,1435.27,1029.862,1.0,1387.554,1043.201,1.0,1419.156,1052.333,1.0,1105.434,285.422,1.0,1124.58,264.853,1.0,1107.188,251.728,1.0,1143.728,175.332,1.0,1120.449,248.681,1.0,1127.098,216.29,1.0,1175.387,454.982,1.0,1156.207,439.301,1.0,1157.362,456.864,1.0,1085.96,433.974,1.0,1141.887,439.89,1.0,1117.964,435.391,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
